ウテロン錠５ｍｇ,2590004F1010
アイミクス配合錠ＬＤ,2149118F1020
アイミクス配合錠ＨＤ,2149118F2026
アイリーア硝子体内注射液４０ｍｇ／ｍＬ　２ｍｇ０．０５ｍＬ,1319405A1027
ネスプ注射液１０μｇプラシリンジ　０．５ｍＬ,3999425S5028
ネスプ注射液１５μｇプラシリンジ　０．５ｍＬ,3999425S6024
ネスプ注射液２０μｇプラシリンジ　０．５ｍＬ,3999425S7020
ネスプ注射液３０μｇプラシリンジ　０．５ｍＬ,3999425S8027
ネスプ注射液４０μｇプラシリンジ　０．５ｍＬ,3999425S9023
ネスプ注射液６０μｇプラシリンジ　０．５ｍＬ,3999425U1023
ネスプ注射液１２０μｇプラシリンジ　０．５ｍＬ,3999425U2020
ネスプ注射液１８０μｇプラシリンジ　０．５ｍＬ,3999425U3026
オロパタジン塩酸塩錠２．５ｍｇ「アメル」,4490025F1139
オロパタジン塩酸塩錠５ｍｇ「アメル」,4490025F2135
クエチアピン錠１２．５ｍｇ「アメル」,1179042F4029
クエチアピン錠２５ｍｇ「アメル」,1179042F1100
クエチアピン錠１００ｍｇ「アメル」,1179042F2018
クエチアピン錠２００ｍｇ「アメル」,1179042F3014
クエチアピン細粒５０％「アメル」,1179042C1040
スマトリプタン錠５０ｍｇ「アメル」,2160003F1103
モサプリドクエン酸塩錠２．５ｍｇ「アメル」,2399010F1168
モサプリドクエン酸塩錠５ｍｇ「アメル」,2399010F2164
アムロジピン錠１０ｍｇ「アメル」,2171022F5148
アムロジピンＯＤ錠１０ｍｇ「アメル」,2171022F6101
オロパタジン塩酸塩ＯＤフィルム２．５ｍｇ「マルホ」,4490025F3085
オロパタジン塩酸塩ＯＤフィルム５ｍｇ「マルホ」,4490025F4081
スイニー錠１００ｍｇ,3969016F1023
ヴォトリエント錠２００ｍｇ,4291028F1023
グリメピリド錠０．５ｍｇ「タナベ」,3961008F3260
アムロジピン錠１０ｍｇ「タナベ」,2171022F5202
ゲムシタビン点滴静注液２００ｍｇ／５ｍＬ「サンド」,4224403A1026
ゲムシタビン点滴静注液１ｇ／２５ｍＬ「サンド」,4224403A2022
アナストロゾール錠１ｍｇ「ＫＮ」,4291010F1082
グリメピリドＯＤ錠０．５ｍｇ「ＫＮ」,3961008F6049
アムロジピンＯＤ錠１０ｍｇ「ＫＮ」,2171022F6063
クエチアピン錠２５ｍｇ「ＭＥＥＫ」,1179042F1089
クエチアピン錠１００ｍｇ「ＭＥＥＫ」,1179042F2085
クエチアピン錠２００ｍｇ「ＭＥＥＫ」,1179042F3081
オロパタジン塩酸塩錠２．５ｍｇ「ＭＥＥＫ」,4490025F1082
オロパタジン塩酸塩錠５ｍｇ「ＭＥＥＫ」,4490025F2089
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「ＭＥＥＫ」,4490025F3034
オロパタジン塩酸塩ＯＤ錠５ｍｇ「ＭＥＥＫ」,4490025F4030
オロパタジン塩酸塩錠２．５ｍｇ「ＪＧ」,4490025F1066
オロパタジン塩酸塩錠５ｍｇ「ＪＧ」,4490025F2062
モサプリドクエン酸塩錠２．５ｍｇ「ＪＧ」,2399010F1079
モサプリドクエン酸塩錠５ｍｇ「ＪＧ」,2399010F2075
クエチアピン錠２５ｍｇ「ＪＧ」,1179042F1070
クエチアピン錠１００ｍｇ「ＪＧ」,1179042F2077
クエチアピン錠２００ｍｇ「ＪＧ」,1179042F3073
アナストロゾール錠１ｍｇ「ＪＧ」,4291010F1074
スマトリプタン錠５０ｍｇ「ＪＧ」,2160003F1065
ラフチジン錠５ｍｇ「ＪＧ」,2325006F1052
ラフチジン錠１０ｍｇ「ＪＧ」,2325006F2059
アトルバスタチン錠５ｍｇ「ＪＧ」,2189015F1147
アトルバスタチン錠１０ｍｇ「ＪＧ」,2189015F2143
リセドロン酸Ｎａ錠２．５ｍｇ「ＪＧ」,3999019F1204
グリメピリド錠０．５ｍｇ「ＪＧ」,3961008F3180
パロキセチン錠５ｍｇ「ＪＧ」,1179041F3010
オロパタジン塩酸塩錠２．５ｍｇ「ファイザー」,4490025F1252
オロパタジン塩酸塩錠５ｍｇ「ファイザー」,4490025F2259
グリメピリド錠０．５ｍｇ「ファイザー」,3961008F3295
クエチアピン錠２５ｍｇ「ファイザー」,1179042F1186
クエチアピン錠１００ｍｇ「ファイザー」,1179042F2018
クエチアピン錠２００ｍｇ「ファイザー」,1179042F3014
ラフチジン錠５ｍｇ「ファイザー」,2325006F1125
ラフチジン錠１０ｍｇ「ファイザー」,2325006F2121
レボフロキサシン点眼液０．５％「ファイザー」,1319742Q1250
モサプリドクエン酸塩錠２．５ｍｇ「ファイザー」,2399010F1265
モサプリドクエン酸塩錠５ｍｇ「ファイザー」,2399010F2261
リセドロン酸Ｎａ錠１７．５ｍｇ「ファイザー」,3999019F2197
タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ファイザー」,2590008F1018
タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ファイザー」,2590008F2014
ヘパリン類似物質外用スプレー０．３％「ファイザー」,3339950R1088
カルベジロール錠１０ｍｇ「ファイザー」,2149032F1110
カルベジロール錠２０ｍｇ「ファイザー」,2149032F2117
アルプロスタジル注５μｇシリンジ「日医工」　１ｍＬ,2190406G1066
アルプロスタジル注１０μｇシリンジ「日医工」　２ｍＬ,2190406G2089
テイコプラニン点滴静注用４００ｍｇ「日医工」,6119401D2040
プロポフォール１％静注１００ｍＬ「日医工」　１ｇ,1119402A3050
アムロジピン錠１０ｍｇ「日医工」,2171022F5210
アムロジピンＯＤ錠１０ｍｇ「日医工」,2171022F6152
オロパタジン塩酸塩錠２．５ｍｇ「日医工」,4490025F1244
オロパタジン塩酸塩錠５ｍｇ「日医工」,4490025F2240
クエチアピン錠２５ｍｇ「日医工」,1179042F1160
クエチアピン錠１００ｍｇ「日医工」,1179042F2018
クエチアピン錠２００ｍｇ「日医工」,1179042F3014
スマトリプタン錠５０ｍｇ「日医工」,2160003F1138
モサプリドクエン酸塩散１％「日医工」,2399010B1050
モサプリドクエン酸塩錠５ｍｇ「日医工」,2399010F2245
アナストロゾール錠１ｍｇ「日医工」,4291010F1180
ラフチジン錠５ｍｇ「日医工」,2325006F1117
ラフチジン錠１０ｍｇ「日医工」,2325006F2113
アナストロゾール錠１ｍｇ「ＮＫ」,4291010F1090
アムロジピン錠１０ｍｇ「ケミファ」,2171022F5172
グリメピリド錠０．５ｍｇ「ケミファ」,3961008F3236
モサプリドクエン酸塩錠２．５ｍｇ「ケミファ」,2399010F1192
モサプリドクエン酸塩錠５ｍｇ「ケミファ」,2399010F2199
オロパタジン塩酸塩錠２．５ｍｇ「ケミファ」,4490025F1163
オロパタジン塩酸塩錠５ｍｇ「ケミファ」,4490025F2160
つくしＡ・Ｍ配合散,2339266B1020
オキシブプロカイン塩酸塩点眼液０．４％「ニットー」,1313700Q2011
モサプリドクエン酸塩錠２．５ｍｇ「ＤＳＥＰ」,2399010F1052
モサプリドクエン酸塩錠５ｍｇ「ＤＳＥＰ」,2399010F2059
クエチアピン錠２５ｍｇ「ＤＳＥＰ」,1179042F1046
クエチアピン錠１００ｍｇ「ＤＳＥＰ」,1179042F2042
クエチアピン錠２００ｍｇ「ＤＳＥＰ」,1179042F3049
モサプリドクエン酸塩錠５ｍｇ「イセイ」,2399010F2172
モサプリドクエン酸塩錠２．５ｍｇ「イセイ」,2399010F1176
ヘパリン類似物質外用スプレー０．３％「ＰＰ」,3339950R1045
シーブリ吸入用カプセル５０μｇ,2259712G1029
フルカリック１号輸液　１３５４．５ｍＬ,3259523G3028
フルカリック２号輸液　１５０４．５ｍＬ,3259524G3022
ジプレキサ筋注用１０ｍｇ,1179408E1020
クエチアピン錠２５ｍｇ「ヨシトミ」,1179042F1208
クエチアピン錠１００ｍｇ「ヨシトミ」,1179042F2204
クエチアピン錠２００ｍｇ「ヨシトミ」,1179042F3200
スマトリプタン錠５０ｍｇ「ＤＫ」,2160003F1030
アナストロゾール錠１ｍｇ「ＮＰ」,4291010F1104
モサプリドクエン酸塩錠２．５ｍｇ「ＫＯ」,2399010F1087
モサプリドクエン酸塩錠５ｍｇ「ＫＯ」,2399010F2083
グリメピリド錠０．５ｍｇ「ＦＦＰ」,3961008F3171
スマトリプタン錠５０ｍｇ「ＦＦＰ」,2160003F1057
グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＦＦＰ」,2391400G5020
グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＦＦＰ」,2391400G4074
アムロジピン錠１０ｍｇ「ＮｉｋＰ」,2171022F5016
クエチアピン錠２５ｍｇ「ＦＦＰ」,1179042F1062
クエチアピン錠１００ｍｇ「ＦＦＰ」,1179042F2069
クエチアピン錠２００ｍｇ「ＦＦＰ」,1179042F3014
ブフェニール顆粒　９４％,3999032D1020
ブフェニール錠　５００ｍｇ,3999032F1021
メサペイン錠５ｍｇ,8219002F1024
メサペイン錠１０ｍｇ,8219002F2020
ソマチュリン皮下注６０ｍｇ,2499413G1025
ソマチュリン皮下注９０ｍｇ,2499413G2021
ソマチュリン皮下注１２０ｍｇ,2499413G3028
ギリアデル脳内留置用剤７．７ｍｇ,4219700X1020
トービイ吸入液３００ｍｇ　５ｍＬ,6123700G1026
アナストロゾール錠１ｍｇ「Ｆ」,4291010F1058
スマトリプタン錠５０ｍｇ「Ｆ」,2160003F1049
オイパロミン３００注シリンジ１５０ｍＬ　６１．２４％,7219412P2028
アムロジピン錠１０ｍｇ「クニヒロ」,2171022F5016
オロパタジン塩酸塩錠２．５ｍｇ「クニヒロ」,4490025F1015
オロパタジン塩酸塩錠５ｍｇ「クニヒロ」,4490025F2011
クエチアピン錠２５ｍｇ「サンド」,1179042F1011
クエチアピン錠１００ｍｇ「サンド」,1179042F2018
クエチアピン錠２００ｍｇ「サンド」,1179042F3014
ドネペジル塩酸塩ＯＤ錠３ｍｇ「サンド」,1190012F3010
ドネペジル塩酸塩ＯＤ錠５ｍｇ「サンド」,1190012F4017
アムロジピンＯＤ錠１０ｍｇ「サンド」,2171022F6136
モサプリドクエン酸塩錠２．５ｍｇ「サンド」,2399010F1214
モサプリドクエン酸塩錠５ｍｇ「サンド」,2399010F2210
ドセタキセル点滴静注液２０ｍｇ／２ｍＬ「サンド」,4240405A5024
ドセタキセル点滴静注液８０ｍｇ／８ｍＬ「サンド」,4240405A6020
アナストロゾール錠１ｍｇ「サンド」,4291010F1015
オロパタジン塩酸塩錠２．５ｍｇ「サンド」,4490025F1201
オロパタジン塩酸塩錠５ｍｇ「サンド」,4490025F2208
モサプリドクエン酸塩錠２．５ｍｇ「日医工」,2399010F1249
マキサカルシトール軟膏２５μｇ／ｇ「イワキ」　０．００２５％,2691702M1052
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「イワキ」,4490025F3042
オロパタジン塩酸塩ＯＤ錠５ｍｇ「イワキ」,4490025F4049
アムロジピン錠１０ｍｇ「ＮＰ」,2171022F5105
アムロジピンＯＤ錠１０ｍｇ「ＮＰ」,2171022F6071
モサプリドクエン酸塩錠２．５ｍｇ「ＮＰ」,2399010F1109
モサプリドクエン酸塩錠５ｍｇ「ＮＰ」,2399010F2105
テイコプラニン点滴静注用４００ｍｇ「ＮＰ」,6119401D2031
フェルビナクパップ７０ｍｇ「ＮＰ」　１０ｃｍ×１４ｃｍ,2649731S1259
アフィニトール錠２．５ｍｇ,4291023F2027
ゾメタ点滴静注４ｍｇ／１００ｍＬ,3999423A2024
ゾレア皮下注用７５ｍｇ,2290400D2021
アトルバスタチン錠５ｍｇ「ＴＳＵ」,2189015F1155
アトルバスタチン錠１０ｍｇ「ＴＳＵ」,2189015F2151
モサプリドクエン酸塩錠２．５ｍｇ「ＴＳＵ」,2399010F1133
モサプリドクエン酸塩錠５ｍｇ「ＴＳＵ」,2399010F2130
オロパタジン塩酸塩錠２．５ｍｇ「マヤ」,4490025F1015
オロパタジン塩酸塩錠５ｍｇ「マヤ」,4490025F2267
アマリールＯＤ錠０．５ｍｇ,3961008F6022
グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＡＦＰ」,2391400G4066
クエチアピン錠２５ｍｇ「三和」,1179042F1135
クエチアピン錠１００ｍｇ「三和」,1179042F2131
クエチアピン錠２００ｍｇ「三和」,1179042F3138
クエチアピン細粒５０％「三和」,1179042C1066
アナストロゾール錠１ｍｇ「サワイ」,4291010F1147
オロパタジン塩酸塩錠２．５ｍｇ「サワイ」,4490025F1198
オロパタジン塩酸塩錠５ｍｇ「サワイ」,4490025F2194
クエチアピン錠２５ｍｇ「サワイ」,1179042F1119
クエチアピン錠５０ｍｇ「サワイ」,1179042F5033
クエチアピン錠１００ｍｇ「サワイ」,1179042F2115
クエチアピン錠２００ｍｇ「サワイ」,1179042F3111
クエチアピン細粒５０％「サワイ」,1179042C1058
モサプリドクエン酸塩錠２．５ｍｇ「サワイ」,2399010F1206
モサプリドクエン酸塩錠５ｍｇ「サワイ」,2399010F2202
ラフチジン錠５ｍｇ「サワイ」,2325006F1087
ラフチジン錠１０ｍｇ「サワイ」,2325006F2083
アムロジピン錠１０ｍｇ「サワイ」,2171022F5180
アムロジピンＯＤ錠１０ｍｇ「サワイ」,2171022F6128
グリメピリド錠０．５ｍｇ「サワイ」,3961008F3244
リスペリドンＯＤ錠０．５ｍｇ「サワイ」,1179038F7048
リセドロン酸Ｎａ錠１７．５ｍｇ「サワイ」,3999019F2049
グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「テルモ」,2391400G5046
グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「テルモ」,2391400G4090
グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「テルモ」,2391400G1202
アナストロゾール錠１ｍｇ「ＳＮ」,4291010F1112
エダラボン点滴静注３０ｍｇバッグ「ＨＫ」　１００ｍＬ,1190401G1220
エトポシド点滴静注液１００ｍｇ「ＳＮ」　５ｍＬ,4240403A2093
モサプリドクエン酸塩錠２．５ｍｇ「ＥＥ」,2399010F1060
モサプリドクエン酸塩錠５ｍｇ「ＥＥ」,2399010F2067
フェキソフェナジン塩酸塩錠３０ｍｇ「ＥＥ」,4490023F2039
フェキソフェナジン塩酸塩錠６０ｍｇ「ＥＥ」,4490023F1032
グリメピリド錠０．５ｍｇ「科研」,3961008F3228
アムロジピン錠１０ｍｇ「科研」,2171022F5156
パロキセチン錠５ｍｇ「科研」,1179041F3257
メソトレキセート点滴静注液１０００ｍｇ　１，０００ｍｇ４０ｍＬ,4222400A2024
スマトリプタン錠５０ｍｇ「ＴＣＫ」,2160003F1081
アムロジピンＯＤ錠１０ｍｇ「ＴＣＫ」,2171022F6080
ラフチジン錠５ｍｇ「ＴＣＫ」,2325006F1060
ラフチジン錠１０ｍｇ「ＴＣＫ」,2325006F2067
モサプリドクエン酸塩錠２．５ｍｇ「ＴＣＫ」,2399010F1125
モサプリドクエン酸塩錠５ｍｇ「ＴＣＫ」,2399010F2121
グリメピリド錠０．５ｍｇ「ＴＣＫ」,3961008F3198
アレンドロン酸錠５ｍｇ「ＴＣＫ」,3999018F1129
アレンドロン酸錠３５ｍｇ「ＴＣＫ」,3999018F2125
ヘパリン類似物質外用スプレー０．３％「ＴＣＫ」,3339950R1053
マグミット錠２００ｍｇ,2344009F3038
マキサカルシトール軟膏２５μｇ／ｇ「ＰＰ」　０．００２５％,2691702M1044
アナストロゾール錠１ｍｇ「ＦＦＰ」,4291010F1066
アナストロゾール錠１ｍｇ「マイラン」,4291010F1015
ウチダの修治ブシＭ,5100099X1031
スマトリプタン錠５０ｍｇ「ＳＮ」,2160003F1073
スマトリプタン錠５０ｍｇ「マイラン」,2160003F1146
フェキソフェナジン塩酸塩錠３０ｍｇ「ＫＮ」,4490023F2047
フェキソフェナジン塩酸塩錠６０ｍｇ「ＫＮ」,4490023F1040
ボナロン経口ゼリー３５ｍｇ,3999018Q1022
ミデナールＬ錠１００　１００ｍｇ,2183005G2141
モサプリドクエン酸塩錠２．５ｍｇ「ＳＮ」,2399010F1117
モサプリドクエン酸塩錠２．５ｍｇ「ＤＫ」,2399010F1044
モサプリドクエン酸塩錠５ｍｇ「ＳＮ」,2399010F2113
モサプリドクエン酸塩錠５ｍｇ「ＤＫ」,2399010F2040
リスペリドン錠０．５ｍｇ「ファイザー」,1179038F4090
プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,1119402A3092
消毒用マルオアルコール,2619805X1066
モビプレップ配合内用剤,7990102A1024
シムジア皮下注２００ｍｇシリンジ　１ｍＬ,3999437G1022
ミカムロ配合錠ＢＰ,2149117F2021
ベネット錠７５ｍｇ,3999019F3037
アメパロモカプセル２５０ｍｇ,6419004M1024
エリキュース錠２．５ｍｇ,3339004F1029
エリキュース錠５ｍｇ,3339004F2025
トビエース錠４ｍｇ,2590015G1021
トビエース錠８ｍｇ,2590015G2028
ミニリンメルトＯＤ錠６０μｇ,2419001F3026
フェキソフェナジン塩酸塩錠３０ｍｇ「ＴＯＡ」,4490023F2110
フェキソフェナジン塩酸塩錠６０ｍｇ「ＴＯＡ」,4490023F1113
ホスリボン配合顆粒　１００ｍｇ（リンとして）,3229103D1020
マラロン配合錠,6419101F1020
スチバーガ錠４０ｍｇ,4291029F1028
コレアジン錠１２．５ｍｇ,1190021F1025
アクトネル錠７５ｍｇ,3999019F3029
ナーブロック筋注２５００単位　２，５００単位０．５ｍＬ,1229406A1022
ディレグラ配合錠,4490100F1021
アフィニトール分散錠２ｍｇ,4291023X1026
アフィニトール分散錠３ｍｇ,4291023X2022
ヒアロンサン点眼液０．３％　５ｍＬ,1319720Y2098
レボフロキサシン点眼液１．５％「杏林」,1319742Q2108
プラミペキソール塩酸塩錠０．１２５ｍｇ「タカタ」,1169012F1162
プラミペキソール塩酸塩錠０．５ｍｇ「タカタ」,1169012F2169
シロスタゾールＯＤ錠５０ｍｇ「タカタ」,3399002F3047
シロスタゾールＯＤ錠１００ｍｇ「タカタ」,3399002F4043
リセドロン酸Ｎａ錠１７．５ｍｇ「タカタ」,3999019F2146
ロキソプロフェンＮａパップ１００ｍｇ「タカタ」　１０×１４ｃｍ,2649735S1095
ロキソプロフェンＮａテープ５０ｍｇ「タカタ」　７ｃｍ×１０ｃｍ,2649735S2164
ロキソプロフェンＮａテープ１００ｍｇ「タカタ」　１０×１４ｃｍ,2649735S3160
レボフロキサシン点眼液１．５％「タカタ」,1319742Q2116
テイコプラニン点滴静注用２００ｍｇ「明治」,6119401D1159
テイコプラニン点滴静注用４００ｍｇ「明治」,6119401D2058
フェキソフェナジン塩酸塩錠３０ｍｇ「明治」,4490023F2233
フェキソフェナジン塩酸塩錠６０ｍｇ「明治」,4490023F1237
フェンタニル３日用テープ２．１ｍｇ「明治」,8219700S5042
フェンタニル３日用テープ４．２ｍｇ「明治」,8219700S6049
フェンタニル３日用テープ８．４ｍｇ「明治」,8219700S7045
フェンタニル３日用テープ１２．６ｍｇ「明治」,8219700S8041
フェンタニル３日用テープ１６．８ｍｇ「明治」,8219700S9048
プラミペキソール塩酸塩錠０．１２５ｍｇ「明治」,1169012F1197
プラミペキソール塩酸塩錠０．５ｍｇ「明治」,1169012F2193
リセドロン酸Ｎａ錠１７．５ｍｇ「明治」,3999019F2200
５－ＦＵ注２５０ｍｇ,4223401A4029
プロビスク０．６眼粘弾剤１％　０．６ｍＬ,1319720Q7200
リセドロン酸Ｎａ錠１７．５ｍｇ「日医工」,3999019F2170
ロラタジンドライシロップ１％「日医工」,4490027R1070
ロキソプロフェンナトリウムパップ１００ｍｇ「日医工」　１０×１４,2649735S1133
ロキソプロフェンナトリウムテープ５０ｍｇ「日医工」　７×１０ｃｍ,2649735S2245
ロキソプロフェンナトリウムテープ１００ｍｇ「日医工」　１０×１４,2649735S3241
プラミペキソール塩酸塩錠０．１２５ｍｇ「日医工」,1169012F1170
プラミペキソール塩酸塩錠０．５ｍｇ「日医工」,1169012F2177
ナテグリニド錠３０ｍｇ「日医工」,3969006F1062
ナテグリニド錠９０ｍｇ「日医工」,3969006F2069
イリノテカン塩酸塩点滴静注液４０ｍｇ「日医工」　２ｍＬ,4240404A1156
イリノテカン塩酸塩点滴静注液１００ｍｇ「日医工」　５ｍＬ,4240404A2152
アゼルニジピン錠８ｍｇ「日医工」,2149043F1135
アゼルニジピン錠１６ｍｇ「日医工」,2149043F2131
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「日医工」,4490025F3123
オロパタジン塩酸塩ＯＤ錠５ｍｇ「日医工」,4490025F4120
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「ＡＡ」,4490025F3093
オロパタジン塩酸塩ＯＤ錠５ｍｇ「ＡＡ」,4490025F4090
フェキソフェナジン塩酸塩錠３０ｍｇ「ＣＥＯ」,4490023F2250
フェキソフェナジン塩酸塩錠６０ｍｇ「ＣＥＯ」,4490023F1253
フェキソフェナジン塩酸塩ＯＤ錠３０ｍｇ「ＣＥＯ」,4490023F4058
フェキソフェナジン塩酸塩ＯＤ錠６０ｍｇ「ＣＥＯ」,4490023F3078
ベタヒスチンメシル酸塩錠６ｍｇ「ＣＥＯ」,1339005F1431
ベタヒスチンメシル酸塩錠１２ｍｇ「ＣＥＯ」,1339005F2217
プラミペキソール塩酸塩錠０．１２５ｍｇ「ＡＡ」,1169012F1030
プラミペキソール塩酸塩錠０．５ｍｇ「ＡＡ」,1169012F2037
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「ファイザー」,4490025F3131
オロパタジン塩酸塩ＯＤ錠５ｍｇ「ファイザー」,4490025F4138
タクロリムスカプセル０．５ｍｇ「ファイザー」,3999014M2037
タクロリムスカプセル１ｍｇ「ファイザー」,3999014M1030
タクロリムスカプセル５ｍｇ「ファイザー」,3999014M3033
ロキソプロフェンナトリウムテープ５０ｍｇ「ファイザー」　７×１０,2649735S2253
ロキソプロフェンＮａテープ１００ｍｇファイザー１０ｃｍ×１４ｃｍ,2649735S3250
ロキソプロフェンＮａパップ１００ｍｇファイザー１０ｃｍ×１４ｃｍ,2649735S1141
フェキソフェナジン塩酸塩錠３０ｍｇ「ファイザー」,4490023F2225
フェキソフェナジン塩酸塩錠６０ｍｇ「ファイザー」,4490023F1229
フェキソフェナジン塩酸塩ＯＤ錠３０ｍｇ「ファイザー」,4490023F4040
フェキソフェナジン塩酸塩ＯＤ錠６０ｍｇ「ファイザー」,4490023F3060
レボフロキサシン点眼液１．５％「ファイザー」,1319742Q2140
リセドロン酸Ｎａ錠１７．５ｍｇ「ＹＤ」,3999019F2103
アゼルニジピン錠８ｍｇ「ＹＤ」,2149043F1089
アゼルニジピン錠１６ｍｇ「ＹＤ」,2149043F2085
アムロジピン錠１０ｍｇ「ＹＤ」,2171022F5318
フェキソフェナジン塩酸塩錠３０ｍｇ「ＹＤ」,4490023F2128
フェキソフェナジン塩酸塩錠６０ｍｇ「ＹＤ」,4490023F1121
プラミペキソール塩酸塩錠０．１２５ｍｇ「ＹＤ」,1169012F1120
プラミペキソール塩酸塩錠０．５ｍｇ「ＹＤ」,1169012F2126
ロキソプロフェンＮａテープ５０ｍｇ「ＹＤ」　７ｃｍ×１０ｃｍ,2649735S2113
ロキソプロフェンＮａテープ１００ｍｇ「ＹＤ」　１０ｃｍ×１４ｃｍ,2649735S3110
ロキソプロフェンＮａパップ１００ｍｇ「ＹＤ」　１０ｃｍ×１４ｃｍ,2649735S1060
レボフロキサシン点眼液１．５％「ＹＤ」,1319742Q2060
アムロジピン錠１０ｍｇ「オーハラ」,2171022F5334
パロキセチン錠５ｍｇ「オーハラ」,1179041F3290
レボフロキサシン点眼液１．５％「オーハラ」,1319742Q2019
ペンタサ坐剤１ｇ,2399715J1020
フェキソフェナジン塩酸塩錠３０ｍｇ「杏林」,4490023F2152
フェキソフェナジン塩酸塩錠６０ｍｇ「杏林」,4490023F1016
リセドロン酸Ｎａ錠２．５ｍｇ「杏林」,3999019F1247
リセドロン酸Ｎａ錠１７．５ｍｇ「杏林」,3999019F2120
ロキソプロフェンＮａテープ５０ｍｇ「杏林」　７ｃｍ×１０ｃｍ,2649735S2148
ロキソプロフェンＮａテープ１００ｍｇ「杏林」　１０ｃｍ×１４ｃｍ,2649735S3144
ロキソプロフェンＮａパップ１００ｍｇ「杏林」　１０ｃｍ×１４ｃｍ,2649735S1079
献血ヴェノグロブリンＩＨ５％静注１０ｇ／２００ｍＬ,6343428A5021
リスペリドンＯＤ錠０．５ｍｇ「ヨシトミ」,1179038F7072
スタリビルド配合錠,6250104F1022
プラミペキソール塩酸塩ＯＤ錠０．１２５ｍｇ「トーワ」,1169012F3025
プラミペキソール塩酸塩ＯＤ錠０．５ｍｇ「トーワ」,1169012F4021
パロキセチンＯＤ錠５ｍｇ「トーワ」,1179041F6027
アゼルニジピン錠８ｍｇ「トーワ」,2149043F1127
アゼルニジピン錠１６ｍｇ「トーワ」,2149043F2123
リセドロン酸Ｎａ錠１７．５ｍｇ「トーワ」,3999019F2162
フェキソフェナジン塩酸塩錠３０ｍｇ「トーワ」,4490023F2209
フェキソフェナジン塩酸塩錠６０ｍｇ「トーワ」,4490023F1202
フェキソフェナジン塩酸塩ＯＤ錠３０ｍｇ「トーワ」,4490023F4031
フェキソフェナジン塩酸塩ＯＤ錠６０ｍｇ「トーワ」,4490023F3051
イリノテカン塩酸塩点滴静注液４０ｍｇ「トーワ」　２ｍＬ,4240404A1148
イリノテカン塩酸塩点滴静注液１００ｍｇ「トーワ」　５ｍＬ,4240404A2144
ロキソプロフェンＮａパップ１００ｍｇ「トーワ」　１０×１４ｃｍ,2649735S1109
ロキソプロフェンＮａテープ５０ｍｇ「トーワ」　７ｃｍ×１０ｃｍ,2649735S2172
ロキソプロフェンＮａテープ１００ｍｇ「トーワ」　１０×１４ｃｍ,2649735S3179
オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「アメル」,4490025F3107
オロパタジン塩酸塩ＯＤ錠５ｍｇ「アメル」,4490025F4103
クエチアピン錠５０ｍｇ「アメル」,1179042F5041
タルチレリンＯＤ錠５ｍｇ「アメル」,1190014F2056
フェキソフェナジン塩酸塩錠３０ｍｇ「アメル」,4490023F2144
フェキソフェナジン塩酸塩錠６０ｍｇ「アメル」,4490023F1148
プラミペキソール塩酸塩錠０．１２５ｍｇ「アメル」,1169012F1138
プラミペキソール塩酸塩錠０．５ｍｇ「アメル」,1169012F2134
リスペリドンＯＤ錠０．５ｍｇ「アメル」,1179038F7064
リスペリドンＯＤ錠３ｍｇ「アメル」,1179038F8052
リセドロン酸ナトリウム錠１７．５ｍｇ「アメル」,3999019F2235
アナストロゾール錠１ｍｇ「アメル」,4291010F1210
レボフロキサシン点眼液１．５％「アメル」,1319742Q2078
ロキソプロフェンＮａテープ５０ｍｇ「アメル」　７ｃｍ×１０ｃｍ,2649735S2121
ロキソプロフェンＮａテープ１００ｍｇ「アメル」　１０×１４ｃｍ,2649735S3128
ネオキシテープ７３．５ｍｇ,2590700S1025
リセドロン酸Ｎａ錠１７．５ｍｇ「ＺＥ」,3999019F2111
プラリア皮下注６０ｍｇシリンジ　１ｍＬ,3999435G1023
リバロＯＤ錠１ｍｇ,2189016F4027
リバロＯＤ錠２ｍｇ,2189016F5023
デノタスチュアブル配合錠,3219100F1020
アムロジピン錠１０ｍｇ「ＤＳＥＰ」,2171022F5253
プラミペキソール塩酸塩錠０．１２５ｍｇ「ＤＳＥＰ」,1169012F1049
プラミペキソール塩酸塩錠０．５ｍｇ「ＤＳＥＰ」,1169012F2045
フェキソフェナジン塩酸塩錠３０ｍｇ「ＢＭＤ」,4490023F2306
フェキソフェナジン塩酸塩錠６０ｍｇ「ＢＭＤ」,4490023F1300
アゼルニジピン錠８ｍｇ「ＢＭＤ」,2149043F1143
